nivel,frequencia,probabilidade,cdf,lut
234,0,0.0,0.8795760459533608,224
235,0,0.0,0.8795760459533608,224
236,0,0.0,0.8795760459533608,224
237,0,0.0,0.8795760459533608,224
238,0,0.0,0.8795760459533608,224
239,0,0.0,0.8795760459533608,224
240,0,0.0,0.8795760459533608,224
241,0,0.0,0.8795760459533608,224
242,0,0.0,0.8795760459533608,224
243,0,0.0,0.8795760459533608,224
244,0,0.0,0.8795760459533608,224
245,0,0.0,0.8795760459533608,224
246,0,0.0,0.8795760459533608,224
247,0,0.0,0.8795760459533608,224
248,0,0.0,0.8795760459533608,224
249,0,0.0,0.8795760459533608,224
250,0,0.0,0.8795760459533608,224
251,0,0.0,0.8795760459533608,224
252,0,0.0,0.8795760459533608,224
253,0,0.0,0.8795760459533608,224
254,0,0.0,0.8795760459533608,224
255,89896,0.12042395404663923,1.0,255
